Standardized Common Name	Scientific Name	Family	Group
Black-bellied Whistling-Duck	Dendrocygna autumnalis	Anatidae	Fowl (includes water and land)
Greater White-fronted Goose	Anser albifrons	Anatidae	Fowl (includes water and land)
Snow Goose	"Snow Goose
Chen caerulescens"	Anatidae	Fowl (includes water and land)
Ross's Goose	Chen rossii	Anatidae	Fowl (includes water and land)
Canada Goose	Branta canadensis	Anatidae	Fowl (includes water and land)
Mute Swan	Cygnus olor	Anatidae	Fowl (includes water and land)
Wood Duck	Aix sponsa	Anatidae	Fowl (includes water and land)
Gadwall	Anas strepera	Anatidae	Fowl (includes water and land)
American Wigeon	Anas americana	Anatidae	Fowl (includes water and land)
Mallard	Anas platyrhynchos	Anatidae	Fowl (includes water and land)
Mottled Duck	Anas fulvigula	Anatidae	Fowl (includes water and land)
Blue-winged Teal	Anas discors	Anatidae	Fowl (includes water and land)
Cinnamon Teal	Anas cyanoptera	Anatidae	Fowl (includes water and land)
Northern Shoveler	Anas clypeata	Anatidae	Fowl (includes water and land)
Northern Pintail	Anas acuta	Anatidae	Fowl (includes water and land)
Green-winged Teal	Anas crecca	Anatidae	Fowl (includes water and land)
Canvasback	Aythya valisineria	Anatidae	Fowl (includes water and land)
Redhead	Aythya americana	Anatidae	Fowl (includes water and land)
Ring-necked Duck	Aythya collaris	Anatidae	Fowl (includes water and land)
Greater Scaup	Aythya marila	Anatidae	Fowl (includes water and land)
Lesser Scaup	Aythya affinis	Anatidae	Fowl (includes water and land)
Bufflehead	Bucephala albeola	Anatidae	Fowl (includes water and land)
Common Goldeneye	Bucephala clangula	Anatidae	Fowl (includes water and land)
Hooded Merganser	Lophodytes cucullatus	Anatidae	Fowl (includes water and land)
Common Merganser	Mergus merganser	Anatidae	Fowl (includes water and land)
Red-breasted Merganser	Mergus serrator	Anatidae	Fowl (includes water and land)
Ruddy Duck	Oxyura jamaicensis	Anatidae	Fowl (includes water and land)
Scaled Quail	Callipepla squamata	Odontophoridae	Fowl (includes water and land)
Gambel's Quail	Callipepla gambelii	Odontophoridae	Fowl (includes water and land)
Northern Bobwhite	Colinus virginianus	Odontophoridae	Fowl (includes water and land)
Wild Turkey	Meleagris gallopavo	Phasianidae	Fowl (includes water and land)
Common Loon	Gavia immer	Gaviidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Least Grebe	Tachybaptus dominicus	Podicipedidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Pied-billed Grebe	Podilymbus podiceps	Podicipedidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Horned Grebe	Podiceps auritus	Podicipedidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Red-necked Grebe	Podiceps grisegena	Podicipedidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Eared Grebe	Podiceps nigricollis	Podicipedidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Neotropic Cormorant	Phalacrocorax brasilianus	Phalacrocoracidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Double-crested Cormorant	Phalacrocorax auritus	Phalacrocoracidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Anhinga	Anhinga anhinga	Anhingidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
American White Pelican	Pelecanus erythrorhynchos	Pelecanidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Brown Pelican	Pelecanus occidentalis	Pelecanidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Great Blue Heron	Ardea herodias	Ardeidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Great Egret	Ardea alba	Ardeidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Snowy Egret	Egretta thula	Ardeidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Little Blue Heron	Egretta caerulea	Ardeidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Tricolored Heron	Egretta tricolor	Ardeidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Cattle Egret	Bubulcus ibis	Ardeidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Green Heron	Butorides virescens	Ardeidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Black-crowned Night-Heron	Nycticorax nycticorax	Ardeidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Yellow-crowned Night-Heron	Nyctanassa violacea	Ardeidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
White Ibis	Eudocimus albus	Threskiornithidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
White-faced Ibis	Plegadis chihi	Threskiornithidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Roseate Spoonbill	Platalea ajaja	Threskiornithidae	"Loons, Grebes, Cormorants, Pelicans, Herons, Egrets, Ibis"
Black Vulture	Coragyps atratus	Cathartidae	"Buteos, Accipiters, Falcons"
Turkey Vulture	Cathartes aura	Cathartidae	"Buteos, Accipiters, Falcons"
Osprey	Pandion haliaetus	Accipitridae	"Buteos, Accipiters, Falcons"
Northern Harrier	Circus cyaneus	Accipitridae	"Buteos, Accipiters, Falcons"
Sharp-shinned Hawk	Accipiter striatus	Accipitridae	"Buteos, Accipiters, Falcons"
Cooper's Hawk	Accipiter cooperii	Accipitridae	"Buteos, Accipiters, Falcons"
Bald Eagle	Haliaeetus leucocephalus	Accipitridae	"Buteos, Accipiters, Falcons"
Harris's Hawk	Parabuteo unicinctus	Accipitridae	"Buteos, Accipiters, Falcons"
Red-shouldered Hawk	Buteo lineatus	Accipitridae	"Buteos, Accipiters, Falcons"
Red-tailed Hawk	Buteo jamaicensis	Accipitridae	"Buteos, Accipiters, Falcons"
Ferruginous Hawk	Buteo regalis	Accipitridae	"Buteos, Accipiters, Falcons"
Crested Caracara	Caracara cheriway	Falconidae	"Buteos, Accipiters, Falcons"
American Kestrel	Falco sparverius	Falconidae	"Buteos, Accipiters, Falcons"
Merlin	Falco columbarius	Falconidae	"Buteos, Accipiters, Falcons"
Peregrine Falcon	Falco peregrinus	Falconidae	"Buteos, Accipiters, Falcons"
